author_uid,article_uid
0000-0001-5227-5637,36013204
0000-0001-5227-6998,34758329
0000-0001-5227-6998,37848024
0000-0001-5227-9531,35868812
0000-0001-5232-1277,26671942
0000-0001-5232-1648,33412093
0000-0001-5232-9404,18394479
0000-0001-5238-6820,19234067
0000-0001-5240-1904,27634227
0000-0001-5242-5527,32527746
0000-0001-5242-5527,37399414
0000-0001-5246-688X,36848679
0000-0001-5248-1043,28179882
0000-0001-5251-6664,30340039
0000-0001-5252-7662,26266537
0000-0001-5252-7662,33224033
0000-0001-5253-8855,27345695
0000-0001-5255-8266,18394479
0000-0001-5257-5736,35868812
0000-0001-5258-6590,26335425
0000-0001-5261-3456,35254911
0000-0001-5267-489X,31209381
0000-0001-5267-489X,33186530
0000-0001-5268-3681,37032328
0000-0001-5268-5476,33785667
0000-0001-5269-6351,23817670
0000-0001-5272-2337,38443634
0000-0001-5274-2805,32169170
0000-0001-5274-7040,19427517
0000-0001-5276-5732,27425623
0000-0001-5276-5732,28449024
0000-0001-5283-8428,23395372
0000-0001-5286-1222,35868812
0000-0001-5287-0284,19427517
0000-0001-5289-4219,35868812
0000-0001-5289-8500,36015236
0000-0001-5291-6246,20813246
0000-0001-5292-4369,36316447
0000-0001-5295-9529,27234980
0000-0001-5296-8396,19427517
0000-0001-5297-733X,36180790
0000-0001-5297-8295,28659782
0000-0001-5297-8295,28975511
0000-0001-5297-8295,35020728
0000-0001-5297-8295,35733429
0000-0001-5300-8151,36624100
0000-0001-5303-8123,20813246
0000-0001-5307-2153,26916700
0000-0001-5308-2343,35392634
0000-0001-5310-264X,36991750
0000-0001-5320-7337,21966579
0000-0001-5323-3666,26881109
0000-0001-5324-359X,27694210
0000-0001-5324-5886,34134979
0000-0001-5325-1370,29348575
0000-0001-5325-757X,35868812
0000-0001-5326-880X,20813246
0000-0001-5327-1523,21611777
0000-0001-5329-192X,25363888
0000-0001-5331-8707,36031184
0000-0001-5339-251X,27306671
0000-0001-5339-5227,31960269
0000-0001-5346-3875,18394479
0000-0001-5347-5948,26136692
0000-0001-5347-9260,28942923
0000-0001-5347-9260,29491377
0000-0001-5347-9260,31222186
0000-0001-5347-9260,34301239
0000-0001-5348-3374,32015543
0000-0001-5348-8052,34221688
0000-0001-5348-8052,34536443
0000-0001-5348-8052,34867215
0000-0001-5348-8052,35551498
0000-0001-5350-4198,35254911
0000-0001-5352-3102,35731804
0000-0001-5352-7947,21220765
0000-0001-5352-7947,21407208
0000-0001-5352-7947,24162650
0000-0001-5352-7947,24478372
0000-0001-5352-7947,28591797
