author_uid,institution_uid,start_date,end_date
0000-0001-5026-9006,4615,2009-01-01,2013-01-01
0000-0001-5026-9006,4615,2009-01-01,2013-01-01
0000-0001-5026-9006,4615,2009-01-01,2013-01-01
0000-0001-5026-9006,4615,2009-01-01,2013-01-01
0000-0001-5026-9006,4616,2008-01-01,2009-01-01
0000-0001-5026-9006,4616,2008-01-01,2009-01-01
0000-0001-5026-9006,4616,2008-01-01,2009-01-01
0000-0001-5026-9006,4616,2008-01-01,2009-01-01
0000-0001-5026-9006,4616,2008-01-01,2009-01-01
0000-0001-5026-9006,4616,2008-01-01,2009-01-01
0000-0001-5026-9006,5894,2013-01-01,2019-10-31
0000-0001-5026-9006,5894,2013-01-01,2019-10-31
0000-0001-5026-9006,5894,2013-01-01,2019-10-31
0000-0001-5026-9006,5894,2013-01-01,2019-10-31
0000-0001-5026-9006,5894,2013-01-01,2019-10-31
0000-0001-5026-9006,5894,2013-01-01,2019-10-31
0000-0001-5026-9006,7315,2003-01-01,2006-01-01
0000-0001-5026-9006,7315,2003-01-01,2006-01-01
0000-0001-5026-9006,7315,2003-01-01,2006-01-01
0000-0001-5026-9006,7315,2003-01-01,2006-01-01
0000-0001-5026-9006,7315,2003-01-01,2006-01-01
0000-0001-5026-9006,7315,2003-01-01,2006-01-01
0000-0001-5031-4591,1514,2019-12-02,
0000-0001-5031-4591,1514,2019-12-02,
0000-0001-5031-4591,1cd623f1,2007-01-01,2012-01-01
0000-0001-5031-4591,1cd623f1,2007-01-01,2012-01-01
0000-0001-5031-4591,91336,2012-02-17,2019-11-09
0000-0001-5031-4591,91336,2012-02-17,2019-11-09
0000-0001-5033-4824,0947327a,2018-07-01,2019-12-31
0000-0001-5033-4824,2dfd3ed4,2020-01-01,
0000-0001-5033-4824,785c9c5c,2018-04-01,2018-06-30
0000-0001-5033-4824,9184,2011-01-06,2011-07-31
0000-0001-5033-4824,grid.15485.3d,2009-06-01,2009-08-31
0000-0001-5033-4824,grid.5373.2,2014-03-12,2018-03-23
